title,authors,year,venue,doi,abstract,keywords,citation_count,source
IoT-Enabled Cybersecurity for Datacenters - Real-Time Threat Monitoring and Incident Response,Mahesh Kolli,2025.0,International Journal of Scientific Research in Computer Science Engineering and Information Technology,10.32628/cseit25112412,"This article presents a comprehensive analysis of an IoT-enabled cybersecurity implementation at a major data center service provider operating across multiple regions. It examines the integration of advanced artificial intelligence and machine learning models with IoT sensors to enhance threat detection and incident response capabilities. The platform's innovative approach combines real-time infrastructure monitoring with automated response mechanisms, leveraging continuous learning algorithms to adapt to evolving cyber threats. By analyzing patterns in power consumption, cooling systems, and network behavior, the system demonstrates significant improvements in threat detection and response efficiency. The implementation showcases how intelligent IoT integration in data center security can strengthen operational resilience while ensuring regulatory compliance across critical sectors including banking, healthcare, and telecommunications.",,0.0,Semantic Scholar
A blockchain-based deep learning approach for cyber security in next-generation medical cyber-physical systems,"B. Balogun, Khushboo Tripathi, Shrikant Tiwari, Shyam Mohan J S, A. Tyagi",2024.0,Journal of Autonomous Intelligence,10.32629/jai.v7i5.1478,"Cyber-physical systems (CPSs) have been employed to seamlessly integrate numerous processes and physical components with integrated computing facilities and data storage, aiming to achieve a heightened level of effectiveness and efficiency across various qualitative and quantitative metrics, including technical and organizational aspects. The increased use of the web and the prospering network through IoT (Internet of things) have given a critical open door to CPS to prevail. While this innovation is as of now utilized in programmed pilot flying, advanced mechanics frameworks, clinical checking, modern control frameworks, and so forth, the headway of these frameworks should understand undeniable spotlight on making them proficient and secure. To work on the strength, reliability, and security of these frameworks, specialists can integrate blockchain innovation which has an inbuilt mix of consensual calculations, secure conventions, and circulated information capacity, with the CPS. This introduces an efficient deep learning approach based on blockchain for medical cyber-physical systems (CPS), consisting primarily of two components: a) a blockchain based security framework to protect the medical data and b) the extraction of quintessential features from these data to a classifier for performing the anomaly scans using deep learning. The experimental evaluation demonstrates that the suggested system outperforms existing models, achieving exceptional performance with an accuracy rate of 0.96 and a sensitivity score of 0.95.",,3.0,Semantic Scholar
Healthcare Based Block Chain Survey In IOT,,2024.0,"Iraqi Journal of Computers, Communications, Control and Systems Engineering",10.33103/uot.ijccce.24.4.7,"Because block chain technology can improve distributed systems' security, dependability, and resilience, it has been gaining popularity. Research based on this technique has helped a number of fields, including data analysis, finance, remote sensing, and healthcare. The primary characteristics that make block chain technology appealing include distributed ledgers, decentralization, privacy, transparency, and data immutability. However, because there is a chance of a privacy breach, medical records that hold private patient information make this system extremely complex. The purpose of this project is to investigate block chain applications in the healthcare sector. We also include articles that touch on other topics, like the Internet of Things, information management, medicine supply chain tracking, and privacy and security issues. Lastly, we aim to investigate block chain concepts in the medical field by evaluating their advantages and disadvantages and providing direction to other studies in the field. We also provide a summary of the Block chain's techniques.

Index Terms—IoT, Block Chain, Healthcare, Smart Contract, Etherum.",,0.0,Semantic Scholar
"Innovation Potentials and Pathways Merging AI, CPS, and IoT",M. Klumpp,2018.0,,10.3390/ASI1010005,"Recent advances in the areas of Artificial Intelligence (AI) in the informatics field, Cyber-Physical Systems (CPS) in the production field, and Internet of Things (IoT) in the logistics and transportation field have induced a tremendous growth and innovation potential for global value chain setups. The question is not if further innovation and automation will happen but when—sooner than later—and how. Independent of physical production innovations (additive manufacturing) the information integration and decision autonomy tendencies themselves will drive new supply chain and customer interaction designs and business models. This article presents a technology forecast model based on extensive descriptions of developments by field as well as interaction traits. Results suggest that the crucial element in AI and technology application in logistics will be the human factor and human-artificial cooperation capacities and attitudes.",,16.0,Semantic Scholar
Securing Cyber Physical Systems: Lightweight Industrial Internet of Things Authentication (LI2A) for Critical Infrastructure and Manufacturing,"Alaa T. Al Ghazo, Mohammed Abu Mallouh, Sa’ed Alajlouni, Islam T. Almalkawi",2025.0,Applied System Innovation,10.3390/asi8010011,"The increasing incorporation of Industrial Internet of Things (IIoT) devices into critical industrial operations and critical infrastructures necessitates robust security measures to safeguard confidential information and ensure dependable connectivity. Particularly in Cyber Physical Systems (CPSs), IIoT system security becomes critical as systems become more interconnected and digital. This paper introduces a novel Lightweight Industrial IoT Authentication (LI2A) method as a solution to address security concerns in the industrial sector and smart city infrastructure. Mutual authentication, authenticated message integrity, key agreement, soundness, forward secrecy, resistance to a variety of assaults, and minimal resource consumption are all features offered by LI2A. Critical to CPS operations, the approach prevents impersonation, man-in-the-middle, replay, eavesdropping, and modification assaults, according to a security study. The method proposed herein ensures the integrity of CPS networks by verifying communication reliability, identifying unauthorized message modifications, establishing a shared session key between users and IIoT devices, and periodically updating keys to ensure sustained security. A comprehensive assessment of performance takes into account each aspect of storage, communication, and computation. The communication and computing capabilities of LI2A, which are critical for the operation of CPS infrastructure, are demonstrated through comparisons with state-of-the-art systems from the literature. LI2A can be implemented in resource-constrained IIoT devices found in CPS and industrial environments, according to the results. By integrating IIoT devices into critical processes in CPS, it is possible to enhance security while also promoting urban digitalization and sustainability.",,1.0,Semantic Scholar
An Innovative Honeypot Architecture for Detecting and Mitigating Hardware Trojans in IoT Devices,"Amira Hossam Eldin Omar, Hassan Soubra, Donatien Koulla Moulla, Alain Abran",2024.0,IoT,10.3390/iot5040033,"The exponential growth and widespread adoption of Internet of Things (IoT) devices have introduced many vulnerabilities. Attackers frequently exploit these flaws, necessitating advanced technological approaches to protect against emerging cyber threats. This paper introduces a novel approach utilizing hardware honeypots as an additional defensive layer against hardware vulnerabilities, particularly hardware Trojans (HTs). HTs pose significant risks to the security of modern integrated circuits (ICs), potentially causing operational failures, denial of service, or data leakage through intentional modifications. The proposed system was implemented on a Raspberry Pi and tested on an emulated HT circuit using a Field-Programmable Gate Array (FPGA). This approach leverages hardware honeypots to detect and mitigate HTs in the IoT devices. The results demonstrate that the system effectively detects and mitigates HTs without imposing additional complexity on the IoT devices. The Trojan-agnostic solution offers full customization to meet specific security needs, providing a flexible and robust layer of security. These findings provide valuable insights into enhancing the security of IoT devices against hardware-based cyber threats, thereby contributing to the overall resilience of IoT networks. This innovative approach offers a promising solution to address the growing security challenges in IoT environments.",,2.0,Semantic Scholar
Smart Monitoring System for Temperature and Relative Humidity Adapted to the Specific Needs of the Colombian Pharmaceutical Service,"Maria Paula Cabezas, Juan David Carvajal, Fulvio Yesid Vivas, D. M. Lopez",2025.0,IoT,10.3390/iot6010015,"Patient safety (PS) is essential in medical care, and preventing medication errors (MEs) is key to guaranteeing it. In Colombia, pharmaceutical services must comply with regulations that require adequate environmental monitoring to ensure medication quality. This study aims to propose an IoT-based smart system that automatizes temperature and relative humidity monitoring in the Colombian pharmaceutical service (CPS). Using the model for IoT platform design as a methodology, an efficient and flexible architecture that integrates data quality management (DQM) dimensions to improve the accuracy and reliability of the system was designed. In addition, tests based on the agile quadrant methodology demonstrate, as a result, its effectiveness, highlighting its ability to optimize environmental monitoring, prevent MEs, and improve PS. The successful implementation of this IoT-based smart system shows its potential in the pharmaceutical sector, offering an innovative solution that reduces risks and improves the quality of drug storage.",,0.0,Semantic Scholar
Resilience Regulation Strategy for Container Port Supply Chain under Disruptive Events,"Bowei Xu, Weiting Liu, Junjun Li",2023.0,Journal of Marine Science and Engineering,10.3390/jmse11040732,"There are many inevitable disruptive events, such as the COVID-19 pandemic, natural disasters and geopolitical conflicts, during the operation of the container port supply chain (CPSC). These events bring ship delays, port congestion and turnover inefficiency. In order to enhance the resilience of the CPSC, a modified two-stage CPSC system containing a container pretreatment system (CPS) and a container handling system (CHS) is built. A two-dimensional resilience index is designed to measure its affordability and recovery. An adaptive fuzzy double-feedback adjustment (AFDA) strategy is proposed to mitigate the disruptive effects and regulate its dynamicity. The AFDA strategy consists of the first-level fuzzy logic control system and the second-level adaptive fuzzy adjustment system. Simulations show the AFDA strategy outperforms the original system, PID, and two pipelines for improved dynamic response and augmented resilience. This study effectively supports the operations manager in determining the proper control policies and resilience management with respect to indeterminate container waiting delay and allocation delay due to disruptive effects.",,6.0,Semantic Scholar
Cyber Resilience and Incident Response in Smart Cities: A Systematic Literature Review,"Gabriela Ahmadi-Assalemi, Haider M. Al-Khateeb, Gregory Epiphaniou, C. Maple",2020.0,Smart Cities,10.3390/smartcities3030046,"The world is experiencing a rapid growth of smart cities accelerated by Industry 4.0, including the Internet of Things (IoT), and enhanced by the application of emerging innovative technologies which in turn create highly fragile and complex cyber–physical–natural ecosystems. This paper systematically identifies peer-reviewed literature and explicitly investigates empirical primary studies that address cyber resilience and digital forensic incident response (DFIR) aspects of cyber–physical systems (CPSs) in smart cities. Our findings show that CPSs addressing cyber resilience and support for modern DFIR are a recent paradigm. Most of the primary studies are focused on a subset of the incident response process, the “detection and analysis” phase whilst attempts to address other parts of the DFIR process remain limited. Further analysis shows that research focused on smart healthcare and smart citizen were addressed only by a small number of primary studies. Additionally, our findings identify a lack of available real CPS-generated datasets limiting the experiments to mostly testbed type environments or in some cases authors relied on simulation software. Therefore, contributing this systematic literature review (SLR), we used a search protocol providing an evidence-based summary of the key themes and main focus domains investigating cyber resilience and DFIR addressed by CPS frameworks and systems. This SLR also provides scientific evidence of the gaps in the literature for possible future directions for research within the CPS cybersecurity realm. In total, 600 papers were surveyed from which 52 primary studies were included and analysed.",,40.0,Semantic Scholar
Theoretical approaches to the development of logistics systems in conditions of economic environment instability,"V. Nitsenko, Iuliia Samoilyk, Oleksandr Hrynko",2024.0,Ukrainian Journal of Applied Economics and Technology,10.36887/2415-8453-2024-4-3,"It has been established that modern conditions of economic instability are characterized by rapid changes in demand, supply, and other business parameters, forcing enterprises to seek new solutions to ensure their competitiveness. The necessity of flexible logistics systems management has been proven, allowing for adaptation to new challenges, enhancing the effectiveness of management practices, and ensuring sustainable business development. Theoretical approaches to developing logistics systems play a crucial role in addressing these tasks, particularly by implementing innovative technologies such as artificial intelligence, the Internet of Things (IoT), blockchain, and automation. The development of logistics systems is characterized as a complex and multidimensional task that requires flexibility, innovation, and sustainability to overcome economic risks. A logistics system structure is presented, including the main objective, core idea, goals, functions, principles, and the primary aim within the context of international logistics systems. The main directions for decision-making in conditions of economic instability are discussed, including risk and uncertainty analysis, resource and asset diversification, cost reduction, process optimization, flexible planning, innovation, digitalization, and a focus on resilience. The proposed theoretical approaches to developing logistics systems as adaptive, innovative, risk-oriented, customer-focused, and cooperative− contribute to effective functioning and adaptation in a rapidly changing economic environment. It has been demonstrated that important directions for ensuring the sustainability and competitiveness of businesses include: firstly, the adaptability of logistics systems to unstable conditions, which entails their ability to respond quickly to changes in market situations, economic crises, fluctuations in demand, and other external factors; and secondly, the integration of innovative technologies into local processes (digital platforms for monitoring; the use of big data; automation and robotics).

Keywords: adaptability, economic instability, efficiency, logistics system, development, management, enterprise.",,1.0,Semantic Scholar
"A Survey on Cyber Physical System Security for IoT: Issues, Challenges, Threats, Solutions","Nam Yong Kim, S. Rathore, Jung Hyun Ryu, J. H. Park, J. Park",2018.0,Journal of Information Processing Systems,10.3745/JIPS.03.0105,"Recently, Cyber Physical System (CPS) is one of the core technologies for realizing Internet of Things (IoT). The CPS is a new paradigm that seeks to converge the physical and cyber worlds in which we live. However, the CPS suffers from certain CPS issues that could directly threaten our lives, while the CPS environment, including its various layers, is related to on-the-spot threats, making it necessary to study CPS security. Therefore, a survey-based in-depth understanding of the vulnerabilities, threats, and attacks is required of CPS security and privacy for IoT. In this paper, we analyze security issues, threats, and solutions for IoT-CPS, and evaluate the existing researches. The CPS raises a number challenges through current security markets and security issues. The study also addresses the CPS vulnerabilities and attacks and derives challenges. Finally, we recommend solutions for each system of CPS security threats, and discuss ways of resolving potential future issues.",,49.0,Semantic Scholar
"DATA SECURITY, MODELING AND VISUALIZATION OF DATA FROM IOT DEVICES","B. Imankulova, S. Alpar, S. Amanzholova",2022.0,Scientific Journal of Astana IT University,10.37943/acwt2121,"The article describes the IoT infrastructure, the hardware of the IoT system, considers the issue of security of the chosen LoRa data transmission technology. Data was received from sensors for gas, temperature and humidity, atmospheric pressure, as well as the location of the end device. At the same time, the standardized security features of the selected LoRa technology for transmitting data from sensors to the server were investigated. The article deals with LoRa bi-directional secure communication line, the security function requires devices/end devices to be configured through the LoRa gateway. Security research is devoted to the development of a security mechanism to increase its resilience. The payload was formed with a hash of the last bytes, and the entire payload was encrypted with AES for integrity and confidentiality. A method for assessing and visualizing atmospheric air pollution is given on the example of the city of Almaty, Kazakhstan. The process of numerical modeling of the study of emissions of harmful substances into the atmosphere is based on a mathematical model formed by the system of Navier-Stokes equations, consisting of the continuity equation, as well as the equations of motion and the k-epsilon turbulence model. To test the numerical methods for processing mixing and chemical reactions, a test problem was chosen – a jet in a transverse flow. Three-dimensional numerical simulation has been implemented. The use of the Internet of Things (IoT) and the acquisition of big data made it possible to simultaneously observe the concentrations of several pollutants in the atmosphere, calculate this concentration and analyze the state of the surface air layer. Modeling allows forecasting the possible concentration of pollutants in certain areas at certain times of the year.",,1.0,Semantic Scholar
Analyzing and Mitigating Attacks in IoT Smart Home Using a Threat Modeling Approach-Based STRIDE,"Mariyam Ouaissa, Mariyam Ouaissa",2025.0,International Journal of Interactive Mobile Technologies,10.3991/ijim.v19i02.52377,"The Internet of Things (IoT) is a network of interconnected devices that enables data exchange. It is widely used in areas such as healthcare, aviation, agriculture, energy, and home automation. Despite its rapid growth and the massive adoption of connected devices, IoT presents significant security risks. Traditional threat modeling approaches are insufficient to address these risks. Architecture-based modeling is recommended, as it considers the entire system and helps in understanding potential threats. Threat modeling is a systematic technique used to identify and evaluate potential threats that could compromise the security of a system. The main objective is to understand the vulnerabilities of a system in order to design appropriate security measures to mitigate them. This paper aims to analyze and mitigate specific IoT smart home threats using the STRIDE threat modeling framework, which systematically identifies potential vulnerabilities at the development level. By applying STRIDE, which stands for Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, and Elevation of Privilege, we focused on addressing key security threats, including denial of service (DoS), phishing, and man-in-the-middle (MitM) attacks. Our findings demonstrate that the proposed mitigation strategies are effective in countering these threats, providing a robust security layer for IoT smart homes. Through this study, we highlight the importance of architecture-based threat modeling to enhance security within the IoT ecosystem and offer practical solutions that strengthen IoT smart home resilience. The outcomes of the STRIDE-based analysis and the effectiveness of the mitigation techniques are detailed, offering empirical evidence to support our approach.",,0.0,Semantic Scholar
An Efficient Machine Learning-Based Cluster Analysis Mechanism for IoT Data,Sivadi Balakrishna,2023.0,International Journal of Hyperconnectivity and the Internet of Things,10.4018/ijhiot.330680,"The prevailing developments in internet of things (IoT) and other sensor technologies such as cyber physical systems (CPS) and wireless sensor networks (WSNs), the huge amount of sensor data has been generating from various IoT devices and protocols. Making predictions and finding density patterns over such data is a challenging task. In order to find the density patterns and make analysis over real-time dynamic data, the machine learning (ML) based algorithms are widely used to deal with the IoT data. In this article, the authors proposed an efficient ML-based cluster analysis mechanism for finding density patterns in IoT dynamic data effectively. In this proposed mechanism, the k-means and GMM models are used for clustering data analysis. The proposed mechanism has been implemented on ThingSpeak Cloud platform for analysing the data efficiently on daily and weekly basis. Finally, the proposed mechanism acquired superior results than the existing benchmarked mechanisms over all the performance evaluation metrics used for analysis over IoT dynamic data.",,0.0,Semantic Scholar
Using Vehicles as Fog Infrastructures for Transportation Cyber-Physical Systems (T-CPS): Fog Computing for Vehicular Networks,"M. Hussain, M. Beg",2019.0,International Journal of Software Science and Computational Intelligence,10.4018/IJSSCI.2019010104,"The advent of intelligent vehicular applications and IoT technologies gives rise to data-intensive challenges across different architectural layers of an intelligent transportation system (ITS). Without powerful communication and computational infrastructure, various vehicular applications and services will still stay in the concept phase and cannot be put into practice in daily life. The current cloud computing and cellular set-ups are far from perfect because they are highly dependent on, and bear the cost of additional infrastructure deployment. Thus, the geo-distributed ITS components require a paradigm shift from centralized cloud-scale processing to edge centered fog computing (FC) paradigms. FC outspreads the computing facilities into the edge of a network, offering location-awareness, latency-sensitive monitoring, and intelligent control. In this article, the authors identify the mission-critical computing needs of the next generation ITS applications and highlight the scopes of FC based solutions towards addressing them. Then, the authors discuss the scenarios where the underutilized communication and computational resources available in connected vehicles can be brought in to perform the role of FC infrastructures. Then the authors present a service-oriented software architecture (SOA) for FC-based Big Data Analytics in ITS applications. The authors also provide a detailed analysis of the potential challenges of using connected vehicles as FC infrastructures along with future research directions.",,32.0,Semantic Scholar
A Secure Data E-Governance for Healthcare Application in Cyber Physical Systems,"Geetanjali Rathee, Hemraj Saini, Sahil Garg, B. Choi, Mohammad Mehedi Hassan",2024.0,International Journal on Semantic Web and Information Systems (IJSWIS),10.4018/ijswis.345934,"The bio-medical devices gather patient information and communicate it to data consumers via wireless networks to take the appropriate action and decision by informing the doctors. However, IoMT is adopted by healthcare departments with a greater speed, yet the majority of devices are limited to resource constraints and security perspectives. The classical e-healthcare systems that are centric have the inherent problem of single-point failure with low transparency and low control over records. Many proposals have been validated in IoT for addressing the inadequate computing and storage of records through sensors. The main focus of this paper is to propose a novel hybrid architecture called Zero Trust Blockchain Architecture for decentralized E-health-CPS systems to support low latency along with storage and processing of records while monitoring the patients. In addition, a probability distribution function may further draft an accurate and real-time monitoring of patients. The proposed mechanism is analyzed against adequate decision, storage, accuracy and transmission of records.",,3.0,Semantic Scholar
A Theoretical Framework of Smart System Modelling of Crop Based on GAN and IoT Platform,"W. Ansari, Yuwang Yang",2021.0,"Proceedings of the 2nd International Conference on ICT for Digital, Smart, and Sustainable Development, ICIDSSD 2020, 27-28 February 2020, Jamia Hamdard, New Delhi, India",10.4108/EAI.27-2-2020.2303294,". The advent of the communication and cutting edge technologies is playing a key role in reforming the various sectors and so as in the field of the agronomy. The use of the internet of the things (IOT) technologies is setting the new horizon through automation intelligence for the precision agriculture (PAg) is nothing but combination of communication technologies using information integration along with the control technologies in the field of agriculture. Greenhouses facing the problem of barren land basically need such systems potentially relevant to control re-circulation in the optimal way needed to such green houses. In this paper the proposed system is segregated essentially into three parts to have better understanding of the system architecture. These first, second and parts are termed as Cyber Physical System (CPS) layer, edge computing layer and cloud computing-gan layer respectively with use of IOT protocols like message queuing telemetry transport (MQTT) protocol or constrained application protocol (CoAP) for communication purpose [3]. The third and the final layer which is termed as cloud-gan layer gets further bifurcated into two parts i.e. Cloud part and the GAN [1] part. The cloud platform is responsible to perform the historical and current data analysis and the second part known as generative adversarial nets (GAN) based on the two multilayer perceptron models known as generator and discriminator. This paper describes the theoretically concept of using GAN with the three tier system discussed above. GAN uses the analyzed data from the cloud part and then generator generates the data distribution (probability distribution) and then discriminator discriminate the data on the certain required defined in the system to enable the system automation to make more optimized decision to enhance the system ability to increase the production of the intended crops. GAN part works on the min max concept in which discriminator is trained to maximize the level assignment probability whereas generator is getting trained to minimize the chances of mistakes done by discriminator to support more accurate result. The concept of the GAN with the existing system mentioned above will enable the system to enhance its intelligence in order to make more sharpen and accurate decision..",,0.0,Semantic Scholar
Enhancing IoT Security through an Artificial Neural Network Approach,"A. Sanmorino, Amirah, R. Gustriansyah, Shinta Puspasari",2024.0,EAI Endorsed Transactions on Internet of Things,10.4108/eetiot.5045,"This study aims to fortify Internet of Things (IoT) security through the strategic implementation of Artificial Neural Networks (ANNs). With the rapid expansion of IoT devices, traditional security measures have struggled to cope with the dynamic and complex nature of these environments. ANNs, known for their adaptability, are explored as a promising solution to enhance security. The central objective is to significantly improve the accuracy of IoT security measures by optimizing ANN architectures. Using a curated dataset with key environmental parameters, the study evaluates three ANN models—Backpropagation Neural Network (BPNN), Multilayer Perceptron (MLP), and Long Short-Term Memory (LSTM). The evaluation metrics include accuracy, precision, recall, and F1-score across different train-test splits. Results show that LSTM consistently outperforms BPNN and MLP, demonstrating superior accuracy and the ability to capture temporal dependencies within IoT security data. Implications stress the importance of aligning model selection with specific application goals, considering factors like computational efficiency. In conclusion, this research contributes valuable insights into the practical implementation of ANNs for IoT security, guiding future optimization efforts and addressing real-world deployment challenges to safeguard sensitive data and ensure system resilience in the evolving IoT landscape.",,0.0,Semantic Scholar
Safe Position Detection Based on Safety System-on-Chip (SSoC) for Wireless IoT Application,"J. Borcsok, M. Schwarz, M. Hafiz, M. Abdelawwad, Ahmed Alsuleiman",2020.0,"International Journal of Circuits, Systems and Signal Processing",10.46300/9106.2020.14.132,"Cyber Physical Systems (CPS) are predestined for use in Industry 4.0 applications. However, the interaction between the virtual and physical world also creates risks that is essential to be controlled. In highly automated industrial systems, for example, robots are used in confined spaces together with working humans. The risk posed by such systems endangers, among others, the people working there. This paper presents an approach to ensure the safety of the situation described above, which makes the workspace of industrial robots safer by implementing a safe workspace detection system. This system comprises several detection sensors implemented in a 2oo3 safety architecture and a Safety System on a Chip (SSoC) based on a safe 1oo2 system architecture. The safety-related redundancy provided by the detection and calculation elements enables a safe position detection of the robotic arm in the 3-dimensional space. The presented system monitors the position of the robotic arm and thus supports the safety of the surrounding objects and the people working there by leading to a safe standstill or to a reduced speed of movement of the robot as soon as the defined and permitted working space is left.",,1.0,Semantic Scholar
IOT-Powered Substation Surveillance System,"Chetan Deore, Vaibhav Varade, Dnyaneshwar Bhil, Gunavant Patil, Umesh Ahire",2024.0,International Journal of Current Science Research and Review,10.47191/ijcsrr/v7-i12-55,"An IoT-based substation monitoring system provides an intelligent and efficient means for the continuous, real-time observation of critical parameters in power substations, overcoming the shortcomings of conventional monitoring that predominantly depends on manual inspection. This system incorporates IoT sensors to continually monitor voltage, current, temperature, humidity, and gas levels (including SF6), hence evaluating the operational integrity of substations. The gathered data is conveyed across secure networks to a central server or cloud platform for processing and analysis. The system use predictive analytics to detect early indicators of equipment failure or performance irregularities, activating warnings for prompt intervention. This reduces downtime, averts expensive repairs, and prolongs the lifespan of essential substation components by facilitating condition-based maintenance instead of conventional, time-based inspections. Operators can obtain real-time data and alarms via an intuitive online or mobile interface, enabling remote monitoring of substations and facilitating timely, data-informed choices. The IoT-based monitoring system improves operational safety, efficiency, and reliability in energy distribution through remote oversight and rapid response capabilities. This technology-centric strategy not only diminishes maintenance expenses and enhances asset management but also fortifies the power grid’s resilience, allowing it to satisfy escalating demands for stability, automation, and efficiency.",,0.0,Semantic Scholar
Advancing Smart Cyber Physical System with Self-Adaptive Software,"Saravanakumar R, Arularasan An, Divakar Harekal, Praveen Kumar R, Kaliyamoorthi P, Pushpalatha Ks, Vidhya Rg",2024.0,International Research Journal of Multidisciplinary Scope,10.47857/irjms.2024.v05i03.01013,"The proposed integration of DevOps and Digital Twins presents a ground-breaking approach to enhancing the resilience and adaptability of Cyber-Physical Systems in the context of Industry 4.0 and the forthcoming Industry 5.0 era. This research explores the synergistic potential of DevOps principles in fostering collaborative and efficient development and maintenance processes for embedded systems and distributed control systems within CPS. Concurrently, the utilization of Digital Twins offers real-time monitoring and simulation capabilities, heralding a shift towards a human-centric approach to CPS operation. The emphasis on self-adaptive systems within CPS anticipates the ability to address dynamic conditions and unforeseen challenges, paving the way for the evolution of resilient and responsive industrial systems. This research explores the integration of DevOps and Digital Twins in the context of Industry 4.0 and anticipates the requirements of Industry 5.0, emphasizing the need for resilient and human-centric Cyber-Physical Systems. This study investigates the integration of DevOps and Digital Twins to enhance the resilience and adaptability of Cyber-Physical Systems in the context of Industry 4.0 and Industry 5.",,2.0,Semantic Scholar
Cyber Physical System and Internet of Things on Upgrading Software Agents,"Manivannan R, Pragathi Yvss",2024.0,International Research Journal of Multidisciplinary Scope,10.47857/irjms.2024.v05i03.01032,"Using the Jason framework and the CArtAgO platform, this study introduces a fresh paradigm for upgrading software agents in Cyber-Physical Systems (CPS) and the Internet of Things (IoT). We integrate Fuzzy Inference Systems (FIS) into the agents' decision-making processes using Fuzzy Logic Controllers (FLCs) within the JaCa environment. This collaboration seeks to resolve uncertainty in real-world CPS and IoT contexts, allowing agents to make context-aware and adaptable judgements. Our method improves agent adaptation by allowing for more nuanced responses to changing situations. The efficacy of this integration is demonstrated experimentally, with enhanced interoperability and responsiveness. This study advances intelligent agent systems by presenting a possible path for generating more context-aware agents in the dynamic landscape of CPS and IoT, encouraging efficient and adaptive autonomous systems.",,0.0,Semantic Scholar
Internet of Things Driven Automated Production Systems using Machine Learning,"A. Chaturvedi, Balasankar V, M. Shrimali, Sandeep Kv, Vijaya R. Kumbhar, Sachin Jadhav, Vidhya Rg",2024.0,International Research Journal of Multidisciplinary Scope,10.47857/irjms.2024.v05i03.01033,"With the advent of Industry 4.0, integrating Cyber-Physical Systems (CPS) and the Internet of Things (IoT) has become crucial in automated production. This study examines the interplay between technological advancements and human factors, particularly the social aspects within this dynamic environment. In the context of Industry 4.0, where CPS and IoT intersect, human factors significantly impact the design, implementation, and operation of automated production systems. This research highlights the mutually beneficial interactions among CPS, IoT, and human-centric components, focusing on how these technologies influence social interactions in automated industrial settings. The integration of intelligent robots and human operators fosters new collaboration and communication models. Understanding these social interactions is key to enhancing the effectiveness and productivity of Industry 4.0 manufacturing. Additionally, the study examines the role of social networks, where CPS and IoT technologies facilitate essential connections between humans and machines. In summary, this research emphasizes the need to incorporate social aspects into developing and implementing Industry 4.0 technologies. Recognizing the impact of CPS, IoT, and human factors on social interactions and networks enables a more comprehensive and efficient technological integration in Industry 4.0.",,3.0,Semantic Scholar
Cyber Resilience Approaches for Cyber Physical Systems,"Manjunath D, Dr M N Nachappa",2024.0,"International Journal of Advanced Research in Science, Communication and Technology",10.48175/ijarsct-15952,"Cyber-physical systems (CPS) integrate physical processes with computing, communication, and control systems to increase efficiency, reliability, and safety. However, these systems are also vulnerable to cyber attacks, which could have severe consequences, such as loss of life, property damage, and economic disruption. To ensure the safety and security of modern society, it is crucial to ensure that CPS are cyber- resilient, meaning they can continue to function and recover from cyber attacks. This requires a multi-faceted approach that includes secure design, risk assessment, monitoring and response, redundancy and backup, and training and education. By implementing these strategies, organizations can improve the cyber resilience of their CPS, reducing the risk of cyber attacks and promoting the safety and security of modern society.",,4.0,Semantic Scholar
Artificial Intelligence in Cyber Physical Systems,"Sakshi Narad, Pratiksha Gotephode, Bhagyashree Kumbhare, Mca Smt Students, Radhikatai",2024.0,"International Journal of Advanced Research in Science, Communication and Technology",10.48175/ijarsct-17448,"This research paper explores the symbiotic relationship between Artificial Intelligence (AI) and Cyber-Physical Systems (CPS), where CPS are computational systems closely intertwined with physical processes through sensors and actuators. AI techniques, particularly machine learning, are pivotal in enhancing CPS functionalities, including data analysis, decision-making, optimization, and autonomous control. The paper delves into various applications of AI in CPS, highlighting its transformative potential in bolstering system performance, reliability, and resilience.
Furthermore, the paper addresses pressing concerns regarding security and privacy within CPS environments. Through a detailed classification of security and privacy threats, it offers an organized overview of potential risks and economic implications, facilitating effective risk assessment. The study demonstrates how AI can mitigate these concerns by presenting a step-by-step flowchart utilizing AI and Machine Learning (ML) techniques for security and privacy issue detection within CPS.
Moreover, the paper conducts a comprehensive literature review on current and future challenges surrounding AI implementation in CPS. It outlines potential developments and advancements, shedding light on the trajectory of AI in the realm of Cyber-Physical Systems",,0.0,Semantic Scholar
